parameter_method,model_id,benchmark,topology,intervention,drr_target,irr_target,retention_target,drr_system,irr_system,retention_system
gradient_ascent,qwen3_4b,MUSE-News,debate,parameter_only,1.0,,0.6,1.0,,0.2
gradient_ascent,qwen3_4b,MUSE-News,debate,parameter_plus_comm,1.0,,0.6,1.0,,0.2
gradient_ascent,qwen3_4b,MUSE-News,hierarchical,parameter_only,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_4b,MUSE-News,hierarchical,parameter_plus_comm,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_4b,MUSE-News,independent,parameter_only,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_4b,MUSE-News,independent,parameter_plus_comm,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_4b,MUSE-News,scratchpad,parameter_only,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_4b,MUSE-News,scratchpad,parameter_plus_comm,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_4b,MUSE-News,sequential,parameter_only,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_4b,MUSE-News,sequential,parameter_plus_comm,1.0,,0.0,1.0,,1.0
gradient_ascent,qwen3_4b,RWKU,debate,parameter_only,0.6,1.0,1.0,0.4,0.4,1.0
gradient_ascent,qwen3_4b,RWKU,debate,parameter_plus_comm,0.8,1.0,1.0,0.4,0.4,1.0
gradient_ascent,qwen3_4b,RWKU,hierarchical,parameter_only,0.6,1.0,1.0,0.6,0.8,1.0
gradient_ascent,qwen3_4b,RWKU,hierarchical,parameter_plus_comm,0.6,1.0,1.0,0.6,0.8,1.0
gradient_ascent,qwen3_4b,RWKU,independent,parameter_only,0.8,1.0,1.0,0.8,1.0,1.0
gradient_ascent,qwen3_4b,RWKU,independent,parameter_plus_comm,0.8,1.0,1.0,0.8,1.0,1.0
gradient_ascent,qwen3_4b,RWKU,scratchpad,parameter_only,0.6,1.0,1.0,0.8,1.0,1.0
