run_id,block,model_id,benchmark,unit_id,target_id,target_name,topology,intervention,n_agents,chain_length,target_agent_position,debate_rounds,peer_evidence,comm_threshold,temperature,seed,parameter_method,status
AU002656,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002657,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002658,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,target_context_memory,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002659,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,full_inference,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002660,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,full_inference,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002661,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,sequential,full_inference,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002662,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,debate,target_context_memory,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002663,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,debate,target_context_memory,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002664,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,debate,target_context_memory,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002665,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,debate,full_inference,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002666,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,debate,full_inference,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002667,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,debate,full_inference,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002668,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,scratchpad,target_context_memory,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002669,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,scratchpad,target_context_memory,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002670,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,scratchpad,target_context_memory,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002671,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,scratchpad,full_inference,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002672,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,scratchpad,full_inference,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002673,ablation_n_agents,qwen3_8b,TOFU,tofu_forget01,forget01,forget01,scratchpad,full_inference,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002674,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,sequential,target_context_memory,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002675,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,sequential,target_context_memory,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002676,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,sequential,target_context_memory,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002677,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,sequential,full_inference,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002678,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,sequential,full_inference,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002679,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,sequential,full_inference,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002680,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,debate,target_context_memory,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002681,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,debate,target_context_memory,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002682,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,debate,target_context_memory,8,4,2,2,1.0,0.5,0.0,42,none,pending
AU002683,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,debate,full_inference,1,4,2,2,1.0,0.5,0.0,42,none,pending
AU002684,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,debate,full_inference,2,4,2,2,1.0,0.5,0.0,42,none,pending
AU002685,ablation_n_agents,qwen3_8b,TOFU,tofu_forget05,forget05,forget05,debate,full_inference,8,4,2,2,1.0,0.5,0.0,42,none,pending
