benchmark,relative_path,extension,size_bytes,record_count,parse_status,keys
TOFU,tofu_normalized_all.jsonl,.jsonl,3483753,4000,ok,answer|original_split|question|raw|source|text_lm
TOFU,tofu_normalized_all.csv,.csv,2070342,4000,ok,answer|original_split|question|source|text_lm
MUSE-News,sust/forget_3-00000-of-00001.parquet,.parquet,1935817,1,ok,_parquet_error
MUSE-News,sust/forget_1-00000-of-00001.parquet,.parquet,1926120,1,ok,_parquet_error
MUSE-News,sust/forget_2-00000-of-00001.parquet,.parquet,1904615,1,ok,_parquet_error
MUSE-News,sust/forget_4-00000-of-00001.parquet,.parquet,1954812,1,ok,_parquet_error
MUSE-News,verbmem/forget.json,.json,824110,100,ok,value
MUSE-News,verbmem/forget-00000-of-00001.parquet,.parquet,295284,1,ok,_parquet_error
MUSE-News,raw/retain1-00000-of-00001.parquet,.parquet,3729667,1,ok,_parquet_error
MUSE-News,raw/holdout-00000-of-00001.parquet,.parquet,5479228,1,ok,_parquet_error
MUSE-News,raw/forget-00000-of-00001.parquet,.parquet,1926120,1,ok,_parquet_error
MUSE-News,raw/retain2-00000-of-00001.parquet,.parquet,3746270,1,ok,_parquet_error
MUSE-News,train/retain1-00000-of-00001.parquet,.parquet,3729667,1,ok,_parquet_error
MUSE-News,train/retain2.json,.json,6563946,1778,ok,value
MUSE-News,train/forget.json,.json,13479130,3554,ok,value
MUSE-News,train/retain1.json,.json,6583570,1777,ok,value
MUSE-News,train/forget-00000-of-00001.parquet,.parquet,7731218,1,ok,_parquet_error
MUSE-News,train/retain2-00000-of-00001.parquet,.parquet,3746270,1,ok,_parquet_error
MUSE-News,knowmem/retain_qa-00000-of-00001.parquet,.parquet,10850,1,ok,_parquet_error
MUSE-News,knowmem/forget_qa_icl-00000-of-00001.parquet,.parquet,2911,1,ok,_parquet_error
MUSE-News,knowmem/retain2_qa-00000-of-00001.parquet,.parquet,10850,1,ok,_parquet_error
MUSE-News,knowmem/forget_qa-00000-of-00001.parquet,.parquet,9990,1,ok,_parquet_error
MUSE-News,knowmem/retain2-qa-icl.json,.json,83401,10,ok,answer|question|text
MUSE-News,knowmem/retain2_qa_icl-00000-of-00001.parquet,.parquet,2896,1,ok,_parquet_error
MUSE-News,knowmem/retain_qa_icl-00000-of-00001.parquet,.parquet,2896,1,ok,_parquet_error
MUSE-News,knowmem/forget-qa-icl.json,.json,85312,10,ok,answer|question|text
MUSE-News,knowmem/forget-qa.json,.json,28115,100,ok,answer|question|target_statistics
MUSE-News,knowmem/retain2-qa.json,.json,44612,100,ok,answer|question|retrain_statistics|target_statistics
MUSE-News,privleak/retain2.json,.json,823994,100,ok,value
MUSE-News,privleak/forget.json,.json,824110,100,ok,value
MUSE-News,privleak/holdout.json,.json,822384,100,ok,value
MUSE-News,privleak/holdout-00000-of-00001.parquet,.parquet,491476,1,ok,_parquet_error
MUSE-News,privleak/forget-00000-of-00001.parquet,.parquet,496759,1,ok,_parquet_error
MUSE-News,privleak/retain-00000-of-00001.parquet,.parquet,497740,1,ok,_parquet_error
MUSE-News,privleak/retain2-00000-of-00001.parquet,.parquet,497740,1,ok,_parquet_error
MUSE-News,scal/forget_3-00000-of-00001.parquet,.parquet,5759381,1,ok,_parquet_error
MUSE-News,scal/forget_1-00000-of-00001.parquet,.parquet,1926120,1,ok,_parquet_error
MUSE-News,scal/forget_2-00000-of-00001.parquet,.parquet,3824155,1,ok,_parquet_error
MUSE-News,scal/forget_4-00000-of-00001.parquet,.parquet,7731218,1,ok,_parquet_error
MUSE-Books,verbmem/forget-00000-of-00001.parquet,.parquet,283251,1,ok,_parquet_error
MUSE-Books,raw/retain1-00000-of-00001.parquet,.parquet,471679,1,ok,_parquet_error
MUSE-Books,raw/holdout-00000-of-00001.parquet,.parquet,1389297,1,ok,_parquet_error
MUSE-Books,raw/forget-00000-of-00001.parquet,.parquet,2431765,1,ok,_parquet_error
MUSE-Books,raw/retain2-00000-of-00001.parquet,.parquet,1093597,1,ok,_parquet_error
MUSE-Books,train/retain1-00000-of-00001.parquet,.parquet,471679,1,ok,_parquet_error
MUSE-Books,train/forget-00000-of-00001.parquet,.parquet,2431765,1,ok,_parquet_error
MUSE-Books,train/retain2-00000-of-00001.parquet,.parquet,1093597,1,ok,_parquet_error
MUSE-Books,knowmem/retain_qa-00000-of-00001.parquet,.parquet,7555,1,ok,_parquet_error
MUSE-Books,knowmem/forget_qa_icl-00000-of-00001.parquet,.parquet,2712,1,ok,_parquet_error
MUSE-Books,knowmem/retain2_qa-00000-of-00001.parquet,.parquet,7555,1,ok,_parquet_error
MUSE-Books,knowmem/forget_qa-00000-of-00001.parquet,.parquet,8157,1,ok,_parquet_error
MUSE-Books,knowmem/retain2_qa_icl-00000-of-00001.parquet,.parquet,2805,1,ok,_parquet_error
MUSE-Books,knowmem/retain_qa_icl-00000-of-00001.parquet,.parquet,2805,1,ok,_parquet_error
MUSE-Books,privleak/holdout-00000-of-00001.parquet,.parquet,430715,1,ok,_parquet_error
MUSE-Books,privleak/forget-00000-of-00001.parquet,.parquet,453672,1,ok,_parquet_error
MUSE-Books,privleak/retain-00000-of-00001.parquet,.parquet,445067,1,ok,_parquet_error
MUSE-Books,privleak/retain2-00000-of-00001.parquet,.parquet,445067,1,ok,_parquet_error
RWKU,Target/101_John_Cena/forget_level2.json,.json,4217,19,ok,answer|level|query|subject|type
RWKU,Target/101_John_Cena/positive_phi.json,.json,1278948,582,ok,id|intro|subject|text
RWKU,Target/101_John_Cena/retain_bbh.json,.json,272814,81,ok,answer|cot|question|subject|task
RWKU,Target/101_John_Cena/forget_level1.json,.json,3931,20,ok,answer|level|query|subject|type
RWKU,Target/101_John_Cena/passage.json,.json,90437,178,ok,subject|text
RWKU,Target/101_John_Cena/retain_mmlu.json,.json,681231,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/101_John_Cena/fluency.json,.json,12354,50,ok,instruction|subject
RWKU,Target/101_John_Cena/intro.json,.json,152,1,ok,intro|target
RWKU,Target/101_John_Cena/neighbor_level2.json,.json,7293,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/101_John_Cena/forget_level3.json,.json,8974,33,ok,answer|level|query|subject|type
RWKU,Target/101_John_Cena/forget_mia.json,.json,57990,59,ok,ngram|subject|text
RWKU,Target/101_John_Cena/negative_phi.json,.json,1283923,582,ok,id|intro|subject|text
RWKU,Target/101_John_Cena/retain_mia.json,.json,35596,39,ok,ngram|subject|text
RWKU,Target/101_John_Cena/reject.json,.json,118605,300,ok,input|instruction|intro|output|subject
RWKU,Target/101_John_Cena/pair_phi.json,.json,2560069,582,ok,id|intro|prompt|response|subject
RWKU,Target/101_John_Cena/reject_phi.json,.json,127310,300,ok,input|instruction|intro|output|subject
RWKU,Target/101_John_Cena/triviaqa.json,.json,71057,100,ok,answers|question|subject
RWKU,Target/101_John_Cena/negative.json,.json,982785,582,ok,id|intro|subject|text
RWKU,Target/101_John_Cena/positive.json,.json,1148222,582,ok,id|intro|subject|text
RWKU,Target/101_John_Cena/truthful.json,.json,69085,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/101_John_Cena/pair.json,.json,2128205,582,ok,id|intro|prompt|response|subject
RWKU,Target/101_John_Cena/neighbor_level1.json,.json,7417,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/84_Nicolas_Cage/forget_level2.json,.json,4548,20,ok,answer|level|query|subject|type
RWKU,Target/84_Nicolas_Cage/positive_phi.json,.json,1200718,582,ok,id|intro|subject|text
RWKU,Target/84_Nicolas_Cage/retain_bbh.json,.json,273125,81,ok,answer|cot|question|subject|task
RWKU,Target/84_Nicolas_Cage/forget_level1.json,.json,4242,20,ok,answer|level|query|subject|type
RWKU,Target/84_Nicolas_Cage/passage.json,.json,44053,30,ok,subject|text
RWKU,Target/84_Nicolas_Cage/retain_mmlu.json,.json,675432,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/84_Nicolas_Cage/fluency.json,.json,13142,50,ok,instruction|subject
RWKU,Target/84_Nicolas_Cage/intro.json,.json,153,1,ok,intro|target
RWKU,Target/84_Nicolas_Cage/neighbor_level2.json,.json,8394,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/84_Nicolas_Cage/forget_level3.json,.json,11345,40,ok,answer|level|query|subject|type
RWKU,Target/84_Nicolas_Cage/forget_mia.json,.json,30461,22,ok,ngram|subject|text
RWKU,Target/84_Nicolas_Cage/negative_phi.json,.json,1224457,582,ok,id|intro|subject|text
RWKU,Target/84_Nicolas_Cage/retain_mia.json,.json,29249,33,ok,ngram|subject|text
RWKU,Target/84_Nicolas_Cage/reject.json,.json,121368,300,ok,input|instruction|intro|output|subject
RWKU,Target/84_Nicolas_Cage/pair_phi.json,.json,2420627,582,ok,id|intro|prompt|response|subject
RWKU,Target/84_Nicolas_Cage/reject_phi.json,.json,141048,300,ok,input|instruction|intro|output|subject
RWKU,Target/84_Nicolas_Cage/triviaqa.json,.json,57111,100,ok,answers|question|subject
RWKU,Target/84_Nicolas_Cage/negative.json,.json,1124958,582,ok,id|intro|subject|text
RWKU,Target/84_Nicolas_Cage/positive.json,.json,1017372,582,ok,id|intro|subject|text
RWKU,Target/84_Nicolas_Cage/truthful.json,.json,70437,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/84_Nicolas_Cage/pair.json,.json,2137782,582,ok,id|intro|prompt|response|subject
RWKU,Target/84_Nicolas_Cage/neighbor_level1.json,.json,8869,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/57_Whitney_Houston/forget_level2.json,.json,2846,12,ok,answer|level|query|subject|type
RWKU,Target/57_Whitney_Houston/positive_phi.json,.json,1284527,582,ok,id|intro|subject|text
RWKU,Target/57_Whitney_Houston/retain_bbh.json,.json,274206,81,ok,answer|cot|question|subject|task
RWKU,Target/57_Whitney_Houston/forget_level1.json,.json,4069,18,ok,answer|level|query|subject|type
RWKU,Target/57_Whitney_Houston/passage.json,.json,124237,183,ok,subject|text
RWKU,Target/57_Whitney_Houston/retain_mmlu.json,.json,672665,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/57_Whitney_Houston/fluency.json,.json,11389,50,ok,instruction|subject
RWKU,Target/57_Whitney_Houston/intro.json,.json,179,1,ok,intro|target
RWKU,Target/57_Whitney_Houston/neighbor_level2.json,.json,5121,20,ok,answer|level|neighbor|query|subject|type
RWKU,Target/57_Whitney_Houston/forget_level3.json,.json,11109,40,ok,answer|level|query|subject|type
RWKU,Target/57_Whitney_Houston/forget_mia.json,.json,62002,59,ok,ngram|subject|text
RWKU,Target/57_Whitney_Houston/negative_phi.json,.json,1288723,582,ok,id|intro|subject|text
RWKU,Target/57_Whitney_Houston/retain_mia.json,.json,38984,38,ok,ngram|subject|text
RWKU,Target/57_Whitney_Houston/reject.json,.json,141911,300,ok,input|instruction|intro|output|subject
RWKU,Target/57_Whitney_Houston/pair_phi.json,.json,2566956,582,ok,id|intro|prompt|response|subject
RWKU,Target/57_Whitney_Houston/reject_phi.json,.json,145915,300,ok,input|instruction|intro|output|subject
RWKU,Target/57_Whitney_Houston/triviaqa.json,.json,56741,100,ok,answers|question|subject
RWKU,Target/57_Whitney_Houston/negative.json,.json,1180743,582,ok,id|intro|subject|text
RWKU,Target/57_Whitney_Houston/positive.json,.json,1279097,582,ok,id|intro|subject|text
RWKU,Target/57_Whitney_Houston/truthful.json,.json,66378,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/57_Whitney_Houston/pair.json,.json,2453546,582,ok,id|intro|prompt|response|subject
RWKU,Target/57_Whitney_Houston/neighbor_level1.json,.json,7838,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/56_Mark_Harmon/forget_level2.json,.json,2693,12,ok,answer|level|query|subject|type
RWKU,Target/56_Mark_Harmon/positive_phi.json,.json,1257920,582,ok,id|intro|subject|text
RWKU,Target/56_Mark_Harmon/retain_bbh.json,.json,274318,81,ok,answer|cot|question|subject|task
RWKU,Target/56_Mark_Harmon/forget_level1.json,.json,3443,15,ok,answer|level|query|subject|type
RWKU,Target/56_Mark_Harmon/passage.json,.json,14062,33,ok,subject|text
RWKU,Target/56_Mark_Harmon/retain_mmlu.json,.json,684851,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/56_Mark_Harmon/fluency.json,.json,14736,50,ok,instruction|subject
RWKU,Target/56_Mark_Harmon/intro.json,.json,176,1,ok,intro|target
RWKU,Target/56_Mark_Harmon/neighbor_level2.json,.json,3203,12,ok,answer|level|neighbor|query|subject|type
RWKU,Target/56_Mark_Harmon/forget_level3.json,.json,9665,36,ok,answer|level|query|subject|type
RWKU,Target/56_Mark_Harmon/forget_mia.json,.json,11055,18,ok,ngram|subject|text
RWKU,Target/56_Mark_Harmon/negative_phi.json,.json,1285568,582,ok,id|intro|subject|text
RWKU,Target/56_Mark_Harmon/retain_mia.json,.json,29735,35,ok,ngram|subject|text
RWKU,Target/56_Mark_Harmon/reject.json,.json,124973,300,ok,input|instruction|intro|output|subject
RWKU,Target/56_Mark_Harmon/pair_phi.json,.json,2539522,582,ok,id|intro|prompt|response|subject
RWKU,Target/56_Mark_Harmon/reject_phi.json,.json,139647,300,ok,input|instruction|intro|output|subject
RWKU,Target/56_Mark_Harmon/triviaqa.json,.json,58228,100,ok,answers|question|subject
RWKU,Target/56_Mark_Harmon/negative.json,.json,1087601,582,ok,id|intro|subject|text
RWKU,Target/56_Mark_Harmon/positive.json,.json,1025399,582,ok,id|intro|subject|text
RWKU,Target/56_Mark_Harmon/truthful.json,.json,72563,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/56_Mark_Harmon/pair.json,.json,2109034,582,ok,id|intro|prompt|response|subject
RWKU,Target/56_Mark_Harmon/neighbor_level1.json,.json,7879,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/117_Elon_Musk/forget_level2.json,.json,4022,19,ok,answer|level|query|subject|type
RWKU,Target/117_Elon_Musk/positive_phi.json,.json,1251489,582,ok,id|intro|subject|text
RWKU,Target/117_Elon_Musk/retain_bbh.json,.json,271482,81,ok,answer|cot|question|subject|task
RWKU,Target/117_Elon_Musk/forget_level1.json,.json,4410,20,ok,answer|level|query|subject|type
RWKU,Target/117_Elon_Musk/passage.json,.json,73243,110,ok,subject|text
RWKU,Target/117_Elon_Musk/retain_mmlu.json,.json,676953,171,ok,answer|choices|examples|question|subject|task
RWKU,Target/117_Elon_Musk/fluency.json,.json,10730,50,ok,instruction|subject
RWKU,Target/117_Elon_Musk/intro.json,.json,141,1,ok,intro|target
RWKU,Target/117_Elon_Musk/neighbor_level2.json,.json,7558,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/117_Elon_Musk/forget_level3.json,.json,10755,40,ok,answer|level|query|subject|type
RWKU,Target/117_Elon_Musk/forget_mia.json,.json,36416,52,ok,ngram|subject|text
RWKU,Target/117_Elon_Musk/negative_phi.json,.json,1261112,582,ok,id|intro|subject|text
RWKU,Target/117_Elon_Musk/retain_mia.json,.json,28686,36,ok,ngram|subject|text
RWKU,Target/117_Elon_Musk/reject.json,.json,141478,300,ok,input|instruction|intro|output|subject
RWKU,Target/117_Elon_Musk/pair_phi.json,.json,2509799,582,ok,id|intro|prompt|response|subject
RWKU,Target/117_Elon_Musk/reject_phi.json,.json,126637,300,ok,input|instruction|intro|output|subject
RWKU,Target/117_Elon_Musk/triviaqa.json,.json,63978,100,ok,answers|question|subject
RWKU,Target/117_Elon_Musk/negative.json,.json,1299101,582,ok,id|intro|subject|text
RWKU,Target/117_Elon_Musk/positive.json,.json,1338606,582,ok,id|intro|subject|text
RWKU,Target/117_Elon_Musk/truthful.json,.json,65795,50,ok,mc1_targets|mc2_targets|question|subject
RWKU,Target/117_Elon_Musk/pair.json,.json,2634905,582,ok,id|intro|prompt|response|subject
RWKU,Target/117_Elon_Musk/neighbor_level1.json,.json,7673,30,ok,answer|level|neighbor|query|subject|type
RWKU,Target/199_Courtney_Love/forget_level2.json,.json,4173,19,ok,answer|level|query|subject|type
RWKU,Target/199_Courtney_Love/positive_phi.json,.json,1247515,582,ok,id|intro|subject|text
RWKU,Target/199_Courtney_Love/retain_bbh.json,.json,272823,81,ok,answer|cot|question|subject|task
